model,landscape,replicate,cv_fold,sequence_length,data_split,pearson_r,r2,mse
blstm,k1,r4,0,10,train,0.7040531273750456,0.47400981187820435,0.01204671014688517
blstm,k1,r4,0,10,test,0.6993645341770371,0.4708484411239624,0.012062119878828525
blstm,k1,r4,0,50,train,0.4516890158194801,0.193475604057312,0.018493506371190672
blstm,k1,r4,0,50,test,0.4668816126666444,0.20312780141830444,0.018168079480528832
blstm,k1,r4,0,100,train,0.32040508041761734,0.09289592504501343,0.020771192778882227
blstm,k1,r4,0,100,test,0.3317044494767165,0.09517592191696167,0.020617973059415817
blstm,k1,r4,0,200,train,-0.008549406417466043,-0.00657498836517334,0.023059870695342887
blstm,k1,r4,0,200,test,-0.012372387583172717,-0.003960371017456055,0.023210589960217475
blstm,k1,r4,0,250,train,-1.939363932930427e-05,-0.04950237274169922,0.024041661992669106
blstm,k1,r4,0,250,test,-5.9245533242879844e-05,-0.04187655448913574,0.024061957746744154
blstm,k1,r4,0,500,train,0.33546707074060245,0.10230273008346558,0.02055047235980227
blstm,k1,r4,0,500,test,0.33597220768993674,0.1050308346748352,0.0205563148483634
blstm,k1,r7,0,10,train,0.7594078288109388,0.5706086158752441,0.010452949294918462
blstm,k1,r7,0,10,test,0.7547267746366217,0.5630192756652832,0.010509736463427543
blstm,k1,r7,0,50,train,0.5770293751312956,0.3312753438949585,0.016241239677918583
blstm,k1,r7,0,50,test,0.5768807383305561,0.33091938495635986,0.016116688773036004
blstm,k1,r7,0,100,train,0.1381803601763763,-0.04319131374359131,0.025267931387612696
blstm,k1,r7,0,100,test,0.1604171855744685,-0.04664206504821777,0.02525267340242863
blstm,k1,r7,0,200,train,-0.0005573881804718794,-0.0023887157440185547,0.024350663747739146
blstm,k1,r7,0,200,test,,-0.0012497901916503906,0.024430351331830025
blstm,k1,r7,0,250,train,-5.6742715482477335e-05,-0.005172371864318848,0.024418670935808
blstm,k1,r7,0,250,test,9.114838581147922e-05,-0.0034253597259521484,0.024474915117025375
blstm,k1,r7,0,500,train,0.169510230331702,0.023079991340637207,0.023730039395190573
blstm,k1,r7,0,500,test,0.16103721630845058,0.020550847053527832,0.0238872604444623
blstm,k1,r2,0,10,train,0.7200368839438482,0.5154334306716919,0.010297623462975025
blstm,k1,r2,0,10,test,0.710616311923113,0.5004979968070984,0.01049493346363306
blstm,k1,r2,0,50,train,0.600683698216736,0.330274760723114,0.014203698178263087
blstm,k1,r2,0,50,test,0.5933431103509157,0.321821928024292,0.014255658909678458
blstm,k1,r2,0,100,train,0.20530734184596616,0.04118335247039795,0.020294426597262685
blstm,k1,r2,0,100,test,0.20771818021349658,0.0424882173538208,0.02014092728495598
blstm,k1,r2,0,200,train,0.08758235009943505,-0.03744077682495117,0.021947163333361212
blstm,k1,r2,0,200,test,0.08816944201942079,-0.039161086082458496,0.021933148428797723
blstm,k1,r2,0,250,train,0.012759467374433342,-1.1920928955078125e-07,0.021159936397059542
blstm,k1,r2,0,250,test,0.018456929807155853,-2.0503997802734375e-05,0.021043013781309128
blstm,k1,r2,0,500,train,0.27286291031743537,0.03497427701950073,0.02041822566172561
blstm,k1,r2,0,500,test,0.25832391665814897,0.027400553226470947,0.020502119883894922
blstm,k2,r5,0,10,train,0.13894756424980564,-0.012427091598510742,0.020934095704241804
blstm,k2,r5,0,10,test,0.11552749761082193,-0.026592493057250977,0.021589895710349083
blstm,k2,r5,0,50,train,0.10767940977178725,0.008778810501098633,0.020483286267048435
blstm,k2,r5,0,50,test,0.09866732078726603,0.00591200590133667,0.020886562019586562
blstm,k2,r5,0,100,train,0.0656181655486684,0.0037689805030822754,0.02058212106165133
blstm,k2,r5,0,100,test,0.06508929566975319,0.004202902317047119,0.02093048207461834
blstm,k2,r5,0,200,train,0.007326452276695428,-0.06053638458251953,0.021869627356126502
blstm,k2,r5,0,200,test,-0.0019363795415617835,-0.06825804710388184,0.02247514333575964
blstm,k2,r5,0,250,train,-0.010965597690152595,-0.0019655227661132812,0.020663239061832428
blstm,k2,r5,0,250,test,0.0024636651921130515,-0.0037730932235717773,0.021174808591604234
blstm,k2,r5,0,500,train,0.06469341776980875,0.0016775727272033691,0.020590078538736782
blstm,k2,r5,0,500,test,0.05259017365329974,-0.0010378360748291016,0.021098445914685727
blstm,k2,r4,0,10,train,0.2981213839142266,0.022115468978881836,0.019736671624215024
blstm,k2,r4,0,10,test,0.29613061312530475,0.015400409698486328,0.019454921409487725
blstm,k2,r4,0,50,train,0.19827724480150638,0.03484231233596802,0.019464395057998206
blstm,k2,r4,0,50,test,0.1970489822024648,0.034843504428863525,0.019086785987019537
blstm,k2,r4,0,100,train,0.08708361481671441,0.0068628787994384766,0.020033089444041252
blstm,k2,r4,0,100,test,0.1037967356114767,0.00987100601196289,0.019596954807639122
blstm,k2,r4,0,200,train,0.0023772470937105487,-0.00015366077423095703,0.020183769532957592
blstm,k2,r4,0,200,test,-0.012617087255662796,-0.00030231475830078125,0.01956425588577986
blstm,k2,r4,0,250,train,0.03406029297504848,-0.010373711585998535,0.02039063419844653
blstm,k2,r4,0,250,test,0.027203565203141267,-0.011577010154724121,0.01971946991980076
blstm,k2,r4,0,500,train,0.06422503194755116,-0.008342385292053223,0.020347995029107946
blstm,k2,r4,0,500,test,0.045246726955207706,-0.008977413177490234,0.019853951781988143
blstm,k2,r7,0,10,train,0.19634223616208277,-0.03140735626220703,0.020550276495908435
blstm,k2,r7,0,10,test,0.20953852024419384,-0.019882559776306152,0.020490068942308426
blstm,k2,r7,0,50,train,0.12365596041482638,0.014088988304138184,0.019644808024168015
blstm,k2,r7,0,50,test,0.1236252574148943,0.014066457748413086,0.019855907931923867
blstm,k2,r7,0,100,train,0.11274551516878045,0.00330352783203125,0.019862469285726547
blstm,k2,r7,0,100,test,0.10370675130203288,-0.0009720325469970703,0.020173831656575204
blstm,k2,r7,0,200,train,-0.012422239236674112,-0.017970919609069824,0.020269681624061352
blstm,k2,r7,0,200,test,-0.03056289331711648,-0.02063131332397461,0.020515170134603977
blstm,k2,r7,0,250,train,-0.04123623461029269,-0.00019466876983642578,0.019918105137106533
blstm,k2,r7,0,250,test,-0.04126272149747434,-1.5974044799804688e-05,0.02012775931507349
blstm,k2,r7,0,500,train,0.08856735907190835,-0.16177618503570557,0.023129617593981123
blstm,k2,r7,0,500,test,0.10805203166294541,-0.16661441326141357,0.02336049862205982
blstm,k2,r2,0,10,train,0.2001258711955114,0.03810232877731323,0.017526846869211448
blstm,k2,r2,0,10,test,0.18805672654692562,0.032216787338256836,0.01759742647409439
blstm,k2,r2,0,50,train,0.16632871300171173,0.008501172065734863,0.01808407314513859
blstm,k2,r2,0,50,test,0.17061883256177612,0.011648714542388916,0.017944440618157385
blstm,k2,r2,0,100,train,0.09386907702538877,-0.05406224727630615,0.01922897445528131
blstm,k2,r2,0,100,test,0.08128074074907898,-0.05331885814666748,0.019126592949032784
blstm,k2,r2,0,200,train,-0.007358360014275006,-0.0013335943222045898,0.018251217196922045
blstm,k2,r2,0,200,test,-0.03823598169253284,-0.0018445253372192383,0.01816187221556902
blstm,k2,r2,0,250,train,0.009461307500763313,-0.0001748800277709961,0.018231044900981156
blstm,k2,r2,0,250,test,0.005035570920298937,-4.875659942626953e-05,0.0181507246568799
blstm,k2,r2,0,500,train,0.06558380000051134,0.0011060833930969238,0.018207562734951842
blstm,k2,r2,0,500,test,0.07719556156314655,0.0014244914054870605,0.018122190423309804
blstm,k3,r5,0,10,train,0.10546774086240351,0.009680449962615967,0.019680587770907504
blstm,k3,r5,0,10,test,0.10658675938477616,0.010152041912078857,0.019365470483899118
blstm,k3,r5,0,50,train,0.04687324935336468,-0.005802035331726074,0.019975752030548296
blstm,k3,r5,0,50,test,0.05621882084149049,-0.006545066833496094,0.019724105671048164
blstm,k3,r5,0,100,train,0.013060397483687439,-2.0742416381835938e-05,0.019866863853837315
blstm,k3,r5,0,100,test,0.0024098980049438445,-0.0005214214324951172,0.019586041569709778
blstm,k3,r5,0,200,train,-0.02454378285294384,-0.001003861427307129,0.019889005988433555
blstm,k3,r5,0,200,test,-0.029587697766237042,-0.0007314682006835938,0.019822208397090434
blstm,k3,r5,0,250,train,-0.0007351476199425888,-0.031850576400756836,0.020504116256897513
blstm,k3,r5,0,250,test,0.0006551224874972728,-0.030467987060546875,0.02041501607745886
blstm,k3,r5,0,500,train,0.08786627421314465,-0.09435844421386719,0.021740545191474864
blstm,k3,r5,0,500,test,0.10486407926815894,-0.09661865234375,0.021694699302315712
blstm,k3,r4,0,10,train,0.06770084405847782,-0.005441904067993164,0.019977932991950137
blstm,k3,r4,0,10,test,0.05577260109907067,-0.009880781173706055,0.019603747874498367
blstm,k3,r4,0,50,train,0.041204858207960895,-0.038332581520080566,0.020651378325725857
blstm,k3,r4,0,50,test,0.02941876442264596,-0.03764450550079346,0.02015666738152504
blstm,k3,r4,0,100,train,0.035415950883063874,-0.04588139057159424,0.020788234315420453
blstm,k3,r4,0,100,test,0.01527826556844214,-0.05097830295562744,0.02039874717593193
blstm,k3,r4,0,200,train,0.011815824820525345,-0.002984285354614258,0.019965133101150796
blstm,k3,r4,0,200,test,0.017924158234993826,-0.0024329423904418945,0.019342992827296256
blstm,k3,r4,0,250,train,0.015279033020719757,-0.03283429145812988,0.020561458794651804
blstm,k3,r4,0,250,test,0.00619758309002405,-0.03153634071350098,0.0198657201603055
blstm,k3,r4,0,500,train,0.05710622893664263,0.0031467676162719727,0.019841276209902118
blstm,k3,r4,0,500,test,0.03066610780523371,-0.00016760826110839844,0.019342426769435407
blstm,k3,r7,0,10,train,0.06655970609462296,-0.07333087921142578,0.022319875167388665
blstm,k3,r7,0,10,test,0.060790401531131966,-0.07388699054718018,0.02223857566714287
blstm,k3,r7,0,50,train,0.07211272117671483,-0.02398085594177246,0.021297349153380645
blstm,k3,r7,0,50,test,0.06738236235232231,-0.024302124977111816,0.021312151849269868
blstm,k3,r7,0,100,train,0.09031244718586834,0.003791511058807373,0.02071965270136532
blstm,k3,r7,0,100,test,0.07990707061756774,0.0019584298133850098,0.020742342248558997
blstm,k3,r7,0,200,train,0.01246767232885014,-0.01616668701171875,0.021116970811743994
blstm,k3,r7,0,200,test,0.007546486545575881,-0.016169071197509766,0.021429020352661608
blstm,k3,r7,0,250,train,0.008260746854192702,-1.0728836059570312e-06,0.02078227688734596
blstm,k3,r7,0,250,test,-0.006999883453379541,-1.0728836059570312e-06,0.021132071688771247
blstm,k3,r7,0,500,train,0.04226834004747382,-0.02783381938934326,0.021359142016720126
blstm,k3,r7,0,500,test,0.02584914593828258,-0.028083086013793945,0.021667466312646867
blstm,k3,r2,0,10,train,0.0690152839975705,-0.017039895057678223,0.020434796418014326
