model,landscape,replicate,cv_fold,sequence_length,data_split,pearson_r,r2,mse
cnn,gb1,r2,0,100,test,0.4370419727647325,0.19037538766860962,0.1205418810248375
cnn,gb1,r2,0,200,train,0.44009513524312555,0.19306904077529907,0.12767531070062238
cnn,gb1,r2,0,200,test,0.4392696889750227,0.19277417659759521,0.1198494184951661
cnn,gb1,r2,0,250,train,0.43867531889676187,0.19145065546035767,0.12793262992213425
cnn,gb1,r2,0,250,test,0.4365783110848794,0.18982422351837158,0.12029215497738224
cnn,gb1,r2,0,500,train,0.43964158110360363,0.19313788414001465,0.12766479086290058
cnn,gb1,r2,0,500,test,0.4379654194631323,0.1911989450454712,0.12004691627571139
cnn,gb1,r3,0,10,train,0.9868063867657308,0.9723294377326965,0.004381823649980191
cnn,gb1,r3,0,10,test,0.9782452902817139,0.9556668996810913,0.006494630283365647
cnn,gb1,r3,0,50,train,0.4774493452398698,0.22790300846099854,0.12216823255149727
cnn,gb1,r3,0,50,test,0.47351035660265034,0.22398018836975098,0.11556831349929174
cnn,gb1,r3,0,100,train,0.4400529104907601,0.19302302598953247,0.12767962468230826
cnn,gb1,r3,0,100,test,0.4373938321120065,0.18986403942108154,0.12059124583999316
cnn,gb1,r3,0,200,train,0.4403574846672886,0.1938931941986084,0.12754589354253223
cnn,gb1,r3,0,200,test,0.4382979992614218,0.19179308414459229,0.1199897116649959
cnn,gb1,r3,0,250,train,0.43692435441840866,0.19068437814712524,0.12805842753085825
cnn,gb1,r3,0,250,test,0.43585682585013275,0.18984222412109375,0.12024738576452611
cnn,gb1,r3,0,500,train,,1.1920928955078125e-07,0.15827863603734818
cnn,gb1,r3,0,500,test,,-3.802776336669922e-05,0.14848560258998708
gb,gb1,r0,0,10,train,0.9964197793282198,0.9925125528881328,0.0011857388343442443
gb,gb1,r0,0,10,test,0.9301709618879986,0.8618718928207747,0.020471604620003997
gb,gb1,r0,0,50,train,0.9964197793282198,0.9925125528881328,0.0011857388343442439
gb,gb1,r0,0,50,test,0.9301867020697394,0.861897650601078,0.02046778712691714
gb,gb1,r0,0,100,train,0.9964197793282198,0.9925125528881328,0.0011857388343442445
gb,gb1,r0,0,100,test,0.9301726021782636,0.8618745561023752,0.020471209902020598
gb,gb1,r0,0,200,train,0.9964197793282199,0.9925125528881328,0.0011857388343442443
gb,gb1,r0,0,200,test,0.9301924441070022,0.861907014440739,0.020466399336791154
gb,gb1,r0,0,250,train,0.99641977932822,0.9925125528881328,0.0011857388343442445
gb,gb1,r0,0,250,test,0.9301859364190685,0.8618963700406359,0.020467976915422882
gb,gb1,r0,0,500,train,0.9964197793282198,0.9925125528881328,0.0011857388343442439
gb,gb1,r0,0,500,test,0.9301815598652725,0.8618892239370284,0.020469036020702856
gb,gb1,r1,0,10,train,0.9964197793282198,0.9925125528881328,0.0011857388343442439
gb,gb1,r1,0,10,test,0.930196903928493,0.8619142887917144,0.02046532122430502
gb,gb1,r1,0,50,train,0.9964197793282198,0.9925125528881328,0.0011857388343442439
gb,gb1,r1,0,50,test,0.9301867020697394,0.861897650601078,0.02046778712691714
gb,gb1,r1,0,100,train,0.9964197793282198,0.9925125528881328,0.0011857388343442445
gb,gb1,r1,0,100,test,0.9301726021782636,0.8618745561023752,0.020471209902020598
gb,gb1,r1,0,200,train,0.9964197793282199,0.9925125528881328,0.0011857388343442443
gb,gb1,r1,0,200,test,0.9301924441070022,0.861907014440739,0.020466399336791154
gb,gb1,r1,0,250,train,0.99641977932822,0.9925125528881328,0.0011857388343442445
gb,gb1,r1,0,250,test,0.9301859364190685,0.8618963700406359,0.020467976915422882
gb,gb1,r1,0,500,train,0.9963381965722184,0.9923392296960043,0.00121318691333949
gb,gb1,r1,0,500,test,0.9300175203110672,0.8616025438833173,0.020511524119844048
gb,gb1,r2,0,10,train,0.9964197793282198,0.9925125528881328,0.0011857388343442439
gb,gb1,r2,0,10,test,0.930196903928493,0.8619142887917144,0.02046532122430502
gb,gb1,r2,0,50,train,0.9964197793282198,0.9925125528881328,0.0011857388343442439
gb,gb1,r2,0,50,test,0.9301867020697394,0.861897650601078,0.02046778712691714
gb,gb1,r2,0,100,train,0.9964197793282198,0.9925125528881328,0.0011857388343442445
gb,gb1,r2,0,100,test,0.9301726021782636,0.8618745561023752,0.020471209902020598
gb,gb1,r2,0,200,train,0.9964197793282199,0.9925125528881328,0.0011857388343442443
gb,gb1,r2,0,200,test,0.9301924441070022,0.861907014440739,0.020466399336791154
gb,gb1,r2,0,250,train,0.99641977932822,0.9925125528881328,0.0011857388343442445
gb,gb1,r2,0,250,test,0.9301859364190685,0.8618963700406359,0.020467976915422882
gb,gb1,r2,0,500,train,0.9964197793282198,0.9925125528881328,0.0011857388343442439
gb,gb1,r2,0,500,test,0.9301815598652725,0.8618892239370284,0.020469036020702856
gb,gb1,r3,0,10,train,0.9964197793282198,0.9925125528881328,0.0011857388343442439
gb,gb1,r3,0,10,test,0.930196903928493,0.8619142887917144,0.02046532122430502
gb,gb1,r3,0,50,train,0.9964197793282198,0.9925125528881328,0.0011857388343442439
gb,gb1,r3,0,50,test,0.9301867020697394,0.861897650601078,0.02046778712691714
gb,gb1,r3,0,100,train,0.9964197793282198,0.9925125528881328,0.0011857388343442445
gb,gb1,r3,0,100,test,0.9301726021782636,0.8618745561023752,0.020471209902020598
gb,gb1,r3,0,200,train,0.9964197793282199,0.9925125528881328,0.0011857388343442443
gb,gb1,r3,0,200,test,0.9301924441070022,0.861907014440739,0.020466399336791154
gb,gb1,r3,0,250,train,0.99641977932822,0.9925125528881328,0.0011857388343442445
gb,gb1,r3,0,250,test,0.9301859364190685,0.8618963700406359,0.020467976915422882
gb,gb1,r3,0,500,train,0.9964197793282198,0.9925125528881328,0.0011857388343442439
gb,gb1,r3,0,500,test,0.9301815598652725,0.8618892239370284,0.020469036020702856
linear,gb1,r0,0,10,train,0.4410713018285869,0.19453424215316772,0.12744233133191737
linear,gb1,r0,0,10,test,0.43883684966864495,0.19247639179229736,0.12021185954411824
linear,gb1,r0,0,50,train,0.44108663901095424,0.1945449709892273,0.12744060785979286
linear,gb1,r0,0,50,test,0.43888398408197615,0.19253027439117432,0.12020147716005643
linear,gb1,r0,0,100,train,0.44109239962200786,0.19455844163894653,0.1274384888064148
linear,gb1,r0,0,100,test,0.43883156091681363,0.1924513578414917,0.12021108716726303
linear,gb1,r0,0,200,train,0.4410734923309345,0.1944296956062317,0.12745811701075643
linear,gb1,r0,0,200,test,0.4389558431327841,0.19239020347595215,0.11990438679517326
linear,gb1,r0,0,250,train,0.44103948720526764,0.19447219371795654,0.12745224280107734
linear,gb1,r0,0,250,test,0.4390229283145064,0.19266360998153687,0.11986508384599524
linear,gb1,r0,0,500,train,0.4410144613633217,0.1943570375442505,0.1274715963528197
linear,gb1,r0,0,500,test,0.43906107815043693,0.19272083044052124,0.11985886608392506
linear,gb1,r1,0,10,train,0.441078766148553,0.19454121589660645,0.1274411242105003
linear,gb1,r1,0,10,test,0.43896360355939157,0.1925891637802124,0.12018874858816465
linear,gb1,r1,0,50,train,0.44108302716838516,0.1945379376411438,0.12744178349136287
linear,gb1,r1,0,50,test,0.438865378165157,0.19250106811523438,0.12020387823383014
linear,gb1,r1,0,100,train,0.441088116768535,0.19455277919769287,0.12743923602960047
linear,gb1,r1,0,100,test,0.43888044964978096,0.19245362281799316,0.12020874246954918
linear,gb1,r1,0,200,train,0.44105164326717106,0.19445914030075073,0.12745423229713726
linear,gb1,r1,0,200,test,0.43901151929208704,0.19257736206054688,0.11987705882322991
linear,gb1,r1,0,250,train,0.44104361196264996,0.19448399543762207,0.1274499744336065
linear,gb1,r1,0,250,test,0.43899665061134824,0.19257128238677979,0.11987751646567199
linear,gb1,r1,0,500,train,0.4410829301089516,0.19454848766326904,0.12743933982828742
linear,gb1,r1,0,500,test,0.4388078079788167,0.19241976737976074,0.11990100277935044
linear,gb1,r2,0,10,train,0.4410905895796928,0.19455838203430176,0.12743842831024757
linear,gb1,r2,0,10,test,0.43881189350057054,0.19238215684890747,0.12022031421462695
linear,gb1,r2,0,50,train,0.44105126875929596,0.19448673725128174,0.12744992974604297
linear,gb1,r2,0,50,test,0.43897000582191303,0.19265180826187134,0.12018589054544766
linear,gb1,r2,0,100,train,0.44107747414594717,0.19451981782913208,0.12744443112204218
linear,gb1,r2,0,100,test,0.4388791750559509,0.19242852926254272,0.12021528606613477
linear,gb1,r2,0,200,train,0.441074999312967,0.1944165825843811,0.12746022944139618
linear,gb1,r2,0,200,test,0.4389729782500972,0.19237691164016724,0.1199053010066687
linear,gb1,r2,0,250,train,0.44107606112717385,0.19447416067123413,0.12745096844931444
linear,gb1,r2,0,250,test,0.43888750728614484,0.19235771894454956,0.1199097472984912
linear,gb1,r2,0,500,train,0.44107879043989345,0.19449609518051147,0.12744704618031144
linear,gb1,r2,0,500,test,0.4387804299546415,0.19224977493286133,0.11992642876960463
linear,gb1,r3,0,10,train,0.4410786897550824,0.19454699754714966,0.12744031120569277
linear,gb1,r3,0,10,test,0.4388438792093279,0.19245922565460205,0.12020910456776619
linear,gb1,r3,0,50,train,0.4410617345518824,0.19451981782913208,0.12744452845719126
linear,gb1,r3,0,50,test,0.4390737501628341,0.19268155097961426,0.12017182360092798
linear,gb1,r3,0,100,train,0.44107619111127416,0.19441372156143188,0.12746110513933703
linear,gb1,r3,0,100,test,0.43897244398722146,0.19241386651992798,0.12021172021826108
linear,gb1,r3,0,200,train,0.4410827772282654,0.19454842805862427,0.1274394211319522
linear,gb1,r3,0,200,test,0.4389151815219271,0.1925162672996521,0.11988622695207596
linear,gb1,r3,0,250,train,0.441053135806753,0.19449383020401,0.12744889745854923
linear,gb1,r3,0,250,test,0.4390332356830937,0.19266116619110107,0.11986549337536602
linear,gb1,r3,0,500,train,0.44103700237282867,0.19444483518600464,0.12745722857678038
linear,gb1,r3,0,500,test,0.4390616391916412,0.192740797996521,0.11985460624603902
mlp,gb1,r0,0,10,train,0.9912679191777332,0.9825960397720337,0.0027558176378265787
mlp,gb1,r0,0,10,test,0.9846578092199767,0.9695391654968262,0.00447016074322164
mlp,gb1,r0,0,50,train,0.9829156317500107,0.9655091762542725,0.005461538654282434
mlp,gb1,r0,0,50,test,0.974328140168992,0.9485870003700256,0.007611150744681557
mlp,gb1,r0,0,100,train,0.8810190224111225,0.7758315801620483,0.03549274545895238
mlp,gb1,r0,0,100,test,0.8798485791236969,0.7738952040672302,0.03291125511750579
mlp,gb1,r0,0,200,train,,-7.987022399902344e-06,0.15827997020867646
mlp,gb1,r0,0,200,test,,-1.1563301086425781e-05,0.14848166565268728
mlp,gb1,r0,0,250,train,,-2.5153160095214844e-05,0.1582827740945877
mlp,gb1,r0,0,250,test,,-1.430511474609375e-06,0.14848014055672337
mlp,gb1,r0,0,500,train,,-1.1324882507324219e-05,0.15828032761366448
mlp,gb1,r0,0,500,test,,-9.584426879882812e-05,0.14849418288065216
mlp,gb1,r1,0,10,train,0.9951484779866422,0.9902603626251221,0.0015406091707464084
mlp,gb1,r1,0,10,test,0.9876943526895317,0.9752189517021179,0.0036372813784206906
mlp,gb1,r1,0,50,train,0.9732668544152978,0.9470036625862122,0.008389047904210722
mlp,gb1,r1,0,50,test,0.9643877286496565,0.9299702048301697,0.010295920865610242
mlp,gb1,r1,0,100,train,0.7695333424835856,0.5912216901779175,0.06470720912528853
mlp,gb1,r1,0,100,test,0.763922425228416,0.5832639932632446,0.06084644788255294
mlp,gb1,r1,0,200,train,,-3.266334533691406e-05,0.158283663690727
mlp,gb1,r1,0,200,test,,-0.00014960765838623047,0.1485021634627197
mlp,gb1,r1,0,250,train,,-4.208087921142578e-05,0.15828512179163787
mlp,gb1,r1,0,250,test,,-0.00016963481903076172,0.14850511667081864
mlp,gb1,r1,0,500,train,,-5.3048133850097656e-05,0.15828724783391523
mlp,gb1,r1,0,500,test,,-1.5497207641601562e-06,0.1484801653078047
mlp,gb1,r2,0,10,train,0.9945139228406046,0.9890098571777344,0.0017405163081816565
mlp,gb1,r2,0,10,test,0.9873278948343293,0.9744030237197876,0.0037782145974536736
mlp,gb1,r2,0,50,train,0.9750589897565229,0.9491888284683228,0.00804771457472418
mlp,gb1,r2,0,50,test,0.9669806543788828,0.9333622455596924,0.009847880775729815
mlp,gb1,r2,0,100,train,0.7727699569199462,0.5961259603500366,0.06393151727114987
mlp,gb1,r2,0,100,test,0.7675781149097478,0.588750422000885,0.060018380731344224
mlp,gb1,r2,0,200,train,,-2.7418136596679688e-06,0.15827911210238424
mlp,gb1,r2,0,200,test,,-2.110004425048828e-05,0.1484830753277924
mlp,gb1,r2,0,250,train,,-4.7326087951660156e-05,0.15828633074385998
mlp,gb1,r2,0,250,test,,-5.960464477539062e-07,0.14848003650115707
mlp,gb1,r2,0,500,train,,1.1920928955078125e-07,0.15827863122153485
mlp,gb1,r2,0,500,test,,-3.826618194580078e-05,0.14848563820123672
mlp,gb1,r3,0,10,train,0.9910435319792402,0.982010543346405,0.0028470118100253437
mlp,gb1,r3,0,10,test,0.9844949370473826,0.969150722026825,0.004535262721280257
mlp,gb1,r3,0,50,train,0.9571970110820257,0.9161549806594849,0.013273632949870875
mlp,gb1,r3,0,50,test,0.9527278884918272,0.9073387980461121,0.01357910108442108
mlp,gb1,r3,0,100,train,0.7724651374082835,0.5963476896286011,0.06390029930660868
mlp,gb1,r3,0,100,test,0.76754571870281,0.587897539138794,0.06010230736186107
mlp,gb1,r3,0,200,train,,-6.461143493652344e-05,0.15828910612493244
mlp,gb1,r3,0,200,test,,-4.0531158447265625e-06,0.14848053783683454
mlp,gb1,r3,0,250,train,,-8.344650268554688e-07,0.15827882063025847
mlp,gb1,r3,0,250,test,,-2.777576446533203e-05,0.14848408570228996
mlp,gb1,r3,0,500,train,,-7.963180541992188e-05,0.15829149257932973
mlp,gb1,r3,0,500,test,,-8.463859558105469e-06,0.14848119816032507
rf,gb1,r0,0,10,train,0.9857140506310251,0.9621371280331912,0.005996099471566495
rf,gb1,r0,0,10,test,0.8977657754095181,0.794115920250503,0.030513539671663464
rf,gb1,r0,0,50,train,0.985438464567499,0.9613393507721524,0.0061224383245076005
rf,gb1,r0,0,50,test,0.8968210267304628,0.7924378296324186,0.030762245082542567
rf,gb1,r0,0,100,train,0.9856389840138691,0.962131423496486,0.0059970028623487145
rf,gb1,r0,0,100,test,0.896170100740391,0.792072627776599,0.030816370692105355
rf,gb1,r0,0,200,train,0.9854889369648988,0.9614701137757691,0.006101730228788558
rf,gb1,r0,0,200,test,0.8965719874829481,0.7921520709156857,0.030804596632745786
rf,gb1,r0,0,250,train,0.9853842335596446,0.9612054050144778,0.006143650452512961
rf,gb1,r0,0,250,test,0.8970574310922861,0.7925611554424736,0.030743967287570603
rf,gb1,r0,0,500,train,0.9854066513381718,0.9614695572933063,0.006101818355336478
rf,gb1,r0,0,500,test,0.8973334761125353,0.7933849213631006,0.0306218791002285
rf,gb1,r1,0,10,train,0.9856095036453263,0.9616517192242511,0.00607297054213215
rf,gb1,r1,0,10,test,0.8985549978021425,0.7947315779045919,0.030422294664885573
rf,gb1,r1,0,50,train,0.985438464567499,0.9613393507721524,0.0061224383245076005
rf,gb1,r1,0,50,test,0.8968210267304628,0.7924378296324186,0.030762245082542567
rf,gb1,r1,0,100,train,0.9856389840138691,0.962131423496486,0.0059970028623487145
rf,gb1,r1,0,100,test,0.896170100740391,0.792072627776599,0.030816370692105355
rf,gb1,r1,0,200,train,0.9854889369648988,0.9614701137757691,0.006101730228788558
rf,gb1,r1,0,200,test,0.8965719874829481,0.7921520709156857,0.030804596632745786
rf,gb1,r1,0,250,train,0.9853842335596446,0.9612054050144778,0.006143650452512961
rf,gb1,r1,0,250,test,0.8970574310922861,0.7925611554424736,0.030743967287570603
rf,gb1,r1,0,500,train,0.9854066513381718,0.9614695572933063,0.006101818355336478
rf,gb1,r1,0,500,test,0.8973334761125353,0.7933849213631006,0.0306218791002285
rf,gb1,r2,0,10,train,0.9856095036453263,0.9616517192242511,0.00607297054213215
rf,gb1,r2,0,10,test,0.8985549978021425,0.7947315779045919,0.030422294664885573
rf,gb1,r2,0,50,train,0.985438464567499,0.9613393507721524,0.0061224383245076005
rf,gb1,r2,0,50,test,0.8968210267304628,0.7924378296324186,0.030762245082542567
rf,gb1,r2,0,100,train,0.9856389840138691,0.962131423496486,0.0059970028623487145
rf,gb1,r2,0,100,test,0.896170100740391,0.792072627776599,0.030816370692105355
rf,gb1,r2,0,200,train,0.9854889369648988,0.9614701137757691,0.006101730228788558
rf,gb1,r2,0,200,test,0.8965719874829481,0.7921520709156857,0.030804596632745786
rf,gb1,r2,0,250,train,0.9853842335596446,0.9612054050144778,0.006143650452512961
rf,gb1,r2,0,250,test,0.8970574310922861,0.7925611554424736,0.030743967287570603
rf,gb1,r2,0,500,train,0.9854066513381718,0.9614695572933063,0.006101818355336478
rf,gb1,r2,0,500,test,0.8973334761125353,0.7933849213631006,0.0306218791002285
rf,gb1,r3,0,10,train,0.9856095036453263,0.9616517192242511,0.00607297054213215
rf,gb1,r3,0,10,test,0.8985549978021425,0.7947315779045919,0.030422294664885573
rf,gb1,r3,0,50,train,0.985438464567499,0.9613393507721524,0.0061224383245076005
rf,gb1,r3,0,50,test,0.8968210267304628,0.7924378296324186,0.030762245082542567
rf,gb1,r3,0,100,train,0.9856389840138691,0.962131423496486,0.0059970028623487145
rf,gb1,r3,0,100,test,0.896170100740391,0.792072627776599,0.030816370692105355
rf,gb1,r3,0,200,train,0.9854889369648988,0.9614701137757691,0.006101730228788558
rf,gb1,r3,0,200,test,0.8965719874829481,0.7921520709156857,0.030804596632745786
rf,gb1,r3,0,250,train,0.9853842335596446,0.9612054050144778,0.006143650452512961
rf,gb1,r3,0,250,test,0.8970574310922861,0.7925611554424736,0.030743967287570603
rf,gb1,r3,0,500,train,0.9854066513381718,0.9614695572933063,0.006101818355336478
rf,gb1,r3,0,500,test,0.8973334761125353,0.7933849213631006,0.0306218791002285
transformer,gb1,r0,0,10,train,0.7955881043868913,0.6311582326889038,0.05842765259882833
transformer,gb1,r0,0,10,test,0.7958270810859905,0.6314656734466553,0.05397306860735019
transformer,gb1,r0,0,50,train,0.7562892849389284,0.5675317049026489,0.06844456729471174
transformer,gb1,r0,0,50,test,0.7488120780553004,0.5557475090026855,0.06475378156950076
transformer,gb1,r0,0,100,train,0.2578626803971087,0.054624080657958984,0.1495894347755318
transformer,gb1,r0,0,100,test,0.25414834284759147,0.04937088489532471,0.14141799062490462
