model,landscape,replicate,train_regime,cv_fold,test_data,pearson_r,r2,mse_loss,train_epochs
cnn,gb1,r2,M0-M1,0,train,0.146668395,-2.217040987,5.48E-05,18
cnn,gb1,r2,M0-M1,0,M1,-0.010062178,-1.760933627,6.25E-05,
cnn,gb1,r2,M0-M1,0,M2,0.012437873,-0.010015316,0.02047036,
cnn,gb1,r2,M0-M1,0,M3,0.05542855,-0.017366691,0.057400828,
cnn,gb1,r2,M0-M1,0,M4,0.086435346,-0.037025042,0.182281243,
cnn,gb1,r2,M0-M2,0,train,0.747216907,0.556701714,0.002417801,22
cnn,gb1,r2,M0-M2,0,M1,0.249868106,-3.203755636,9.52E-05,
cnn,gb1,r2,M0-M2,0,M2,0.338956434,0.111755763,0.01800238,
cnn,gb1,r2,M0-M2,0,M3,0.521781527,0.237117189,0.042728014,
cnn,gb1,r2,M0-M2,0,M4,0.386079235,0.097087602,0.15871823,
cnn,gb1,r2,M0-M3,0,train,0.983869892,0.96762766,0.001217731,34
cnn,gb1,r2,M0-M3,0,M1,-0.023073546,-0.320781878,2.99E-05,
cnn,gb1,r2,M0-M3,0,M2,0.976217435,0.951937479,0.000974101,
cnn,gb1,r2,M0-M3,0,M3,0.963127177,0.912376203,0.004904868,
cnn,gb1,r2,M0-M3,0,M4,0.705409339,0.433454387,0.099577708,
cnn,gb1,r2,M0-M4,0,train,0.989536797,0.97771103,0.003523915,40
cnn,gb1,r2,M0-M4,0,M1,0.183587521,-1.467275271,5.59E-05,
cnn,gb1,r2,M0-M4,0,M2,0.988325165,0.950796688,0.000997222,
cnn,gb1,r2,M0-M4,0,M3,0.965608195,0.932234055,0.003722904,
cnn,gb1,r2,M0-M4,0,M4,0.974697508,0.948453703,0.00906745,
cnn,gb1,r3,M0-M1,0,train,0.139410493,-2.244746485,4.79E-05,22
cnn,gb1,r3,M0-M1,0,M1,0.354859769,-63.41432152,0.000117137,
cnn,gb1,r3,M0-M1,0,M2,-0.037652823,-0.023034983,0.004371319,
cnn,gb1,r3,M0-M1,0,M3,0.022434603,-0.018127838,0.080200655,
cnn,gb1,r3,M0-M1,0,M4,0.026614097,-0.035176093,0.180042638,
cnn,gb1,r3,M0-M2,0,train,0.93723169,0.866066929,0.000569261,25
cnn,gb1,r3,M0-M2,0,M1,-0.295190154,-7.648684038,1.57E-05,
cnn,gb1,r3,M0-M2,0,M2,0.567428714,0.074847244,0.003953079,
cnn,gb1,r3,M0-M2,0,M3,0.416416011,0.112873817,0.069754946,
cnn,gb1,r3,M0-M2,0,M4,0.306850701,0.014091915,0.171484313,
cnn,gb1,r3,M0-M3,0,train,0.9766395,0.953809094,0.002733731,33
cnn,gb1,r3,M0-M3,0,M1,,-1.120122345,3.86E-06,
cnn,gb1,r3,M0-M3,0,M2,0.902744119,0.778660432,0.00094576,
cnn,gb1,r3,M0-M3,0,M3,0.949858542,0.901483912,0.008153197,
cnn,gb1,r3,M0-M3,0,M4,0.819333694,0.59134124,0.070888529,
cnn,gb1,r3,M0-M4,0,train,0.990534273,0.980330561,0.003092455,45
cnn,gb1,r3,M0-M4,0,M1,-0.122114811,-26.96160653,5.08E-05,
cnn,gb1,r3,M0-M4,0,M2,0.959621824,0.748007884,0.001076735,
cnn,gb1,r3,M0-M4,0,M3,0.978429433,0.952128892,0.003719842,
cnn,gb1,r3,M0-M4,0,M4,0.9777751,0.955983449,0.007649877,
gb,gb1,r0,M0-M1,0,train,1,1,7.72E-34,
gb,gb1,r0,M0-M1,0,M1,0.301215878,0.067633363,4.41E-06,
gb,gb1,r0,M0-M1,0,M2,0.219888463,0.007750289,0.013599801,
gb,gb1,r0,M0-M1,0,M3,0.190447525,-0.012023985,0.083653669,
gb,gb1,r0,M0-M1,0,M4,0.179268022,-0.035917479,0.199724951,
gb,gb1,r0,M0-M2,0,train,0.999999887,0.999999773,1.15E-09,
gb,gb1,r0,M0-M2,0,M1,0.850137707,0.674278615,1.54E-06,
gb,gb1,r0,M0-M2,0,M2,0.238608413,0.01670995,0.013476999,
gb,gb1,r0,M0-M2,0,M3,0.304530624,0.06556134,0.077240484,
gb,gb1,r0,M0-M2,0,M4,0.375692949,0.122389192,0.169203415,
gb,gb1,r0,M0-M3,0,train,0.999912005,0.999816577,1.38E-05,
gb,gb1,r0,M0-M3,0,M1,-0.078081386,-14.12327597,7.15E-05,
gb,gb1,r0,M0-M3,0,M2,0.963453381,0.871179321,0.00176562,
gb,gb1,r0,M0-M3,0,M3,0.695829152,0.482004615,0.042817379,
gb,gb1,r0,M0-M3,0,M4,0.819287088,0.664970788,0.064593652,
gb,gb1,r0,M0-M4,0,train,0.996403951,0.992483055,0.001147087,
gb,gb1,r0,M0-M4,0,M1,-0.228145862,-20.99947083,0.000103941,
gb,gb1,r0,M0-M4,0,M2,0.98202266,0.828302301,0.002353293,
gb,gb1,r0,M0-M4,0,M3,0.93918491,0.87542564,0.010297288,
gb,gb1,r0,M0-M4,0,M4,0.928738645,0.860470593,0.026901278,
gb,gb1,r1,M0-M1,0,train,1,1,7.81E-36,
gb,gb1,r1,M0-M1,0,M1,0.151108605,-0.107470153,3.46E-05,
gb,gb1,r1,M0-M1,0,M2,0.191299183,0.013889199,0.004712734,
gb,gb1,r1,M0-M1,0,M3,0.126233327,-0.015586111,0.057294267,
gb,gb1,r1,M0-M1,0,M4,0.121697202,-0.03719063,0.172187248,
gb,gb1,r1,M0-M2,0,train,0.999999952,0.999999904,1.51E-09,
gb,gb1,r1,M0-M2,0,M1,0.240728509,0.029937655,3.03E-05,
gb,gb1,r1,M0-M2,0,M2,0.230315539,0.007929232,0.004741218,
gb,gb1,r1,M0-M2,0,M3,0.601995634,0.312173816,0.038803698,
gb,gb1,r1,M0-M2,0,M4,0.422287351,0.104985187,0.148584198,
gb,gb1,r1,M0-M3,0,train,0.999911153,0.999816443,1.10E-05,
gb,gb1,r1,M0-M3,0,M1,0.479782734,-0.525316734,4.76E-05,
gb,gb1,r1,M0-M3,0,M2,0.932374205,0.839829492,0.000765473,
gb,gb1,r1,M0-M3,0,M3,0.80355162,0.631806135,0.020771648,
gb,gb1,r1,M0-M3,0,M4,0.809588878,0.652832809,0.057634307,
gb,gb1,r1,M0-M4,0,train,0.996479065,0.992641593,0.001170577,
gb,gb1,r1,M0-M4,0,M1,0.632126888,-0.797067826,5.61E-05,
gb,gb1,r1,M0-M4,0,M2,0.963360154,0.922889424,0.00036852,
gb,gb1,r1,M0-M4,0,M3,0.946976565,0.892329437,0.006074232,
gb,gb1,r1,M0-M4,0,M4,0.927676653,0.858718622,0.023454562,
gb,gb1,r2,M0-M1,0,train,1,1,3.19E-36,
gb,gb1,r2,M0-M1,0,M1,0.480281699,-0.226275527,2.78E-05,
gb,gb1,r2,M0-M1,0,M2,-0.033498493,-0.01107541,0.020491848,
gb,gb1,r2,M0-M1,0,M3,-0.057346334,-0.023295953,0.058850295,
gb,gb1,r2,M0-M1,0,M4,-0.052828678,-0.04339689,0.18340676,
gb,gb1,r2,M0-M2,0,train,0.999999931,0.999999861,7.59E-10,
gb,gb1,r2,M0-M2,0,M1,0.450838594,0.005373103,2.25E-05,
gb,gb1,r2,M0-M2,0,M2,0.214281456,0.001148036,0.020244111,
gb,gb1,r2,M0-M2,0,M3,0.630429187,0.385436269,0.035343887,
gb,gb1,r2,M0-M2,0,M4,0.425995692,0.161824801,0.147333195,
gb,gb1,r2,M0-M3,0,train,0.999912495,0.999820841,6.75E-06,
gb,gb1,r2,M0-M3,0,M1,0.04713006,-1.308267237,5.23E-05,
gb,gb1,r2,M0-M3,0,M2,0.99445576,0.988292443,0.000237281,
gb,gb1,r2,M0-M3,0,M3,0.83644075,0.691281774,0.017754549,
gb,gb1,r2,M0-M3,0,M4,0.784264548,0.584205336,0.07308777,
gb,gb1,r2,M0-M4,0,train,0.996540555,0.992767338,0.001135332,
gb,gb1,r2,M0-M4,0,M1,0.055095113,-2.088863151,7.00E-05,
gb,gb1,r2,M0-M4,0,M2,0.981631303,0.957385748,0.000863679,
gb,gb1,r2,M0-M4,0,M3,0.951036792,0.900064907,0.00574732,
gb,gb1,r2,M0-M4,0,M4,0.925343666,0.853824555,0.025694503,
gb,gb1,r3,M0-M1,0,train,1,1,5.13E-36,
gb,gb1,r3,M0-M1,0,M1,0.003777678,-2.694969845,6.72E-06,
gb,gb1,r3,M0-M1,0,M2,0.20128699,0.004978102,0.004251622,
gb,gb1,r3,M0-M1,0,M3,0.130178588,-0.018631299,0.084268891,
gb,gb1,r3,M0-M1,0,M4,0.129305118,-0.035867709,0.179855094,
gb,gb1,r3,M0-M2,0,train,0.999999839,0.999999675,1.38E-09,
