model,landscape,replicate,train_regime,cv_fold,test_data,pearson_r,r2,mse_loss,train_epochs
blstm,k1,r4,M0-M6,0,M1,0.999776544,0.999328232,1.17E-05,
blstm,k1,r4,M0-M6,0,M2,0.998063118,0.995898566,6.09E-05,
blstm,k1,r4,M0-M6,0,M3,0.998973752,0.997722289,5.08E-05,
blstm,k1,r4,M0-M6,0,M4,0.998993486,0.997962213,4.37E-05,
blstm,k1,r4,M0-M6,0,M5,0.998949466,0.997864059,4.60E-05,
blstm,k1,r4,M0-M6,0,M6,0.999071965,0.997955358,4.89E-05,
blstm,k1,r0,M0-M1,0,train,0.293434315,-0.096462952,0.010541812,24
blstm,k1,r0,M0-M1,0,M1,-0.046005441,-0.754632688,0.022138532,
blstm,k1,r0,M0-M1,0,M2,0.459295338,-0.832017605,0.035165761,
blstm,k1,r0,M0-M1,0,M3,0.205968602,-1.04463101,0.036253963,
blstm,k1,r0,M0-M1,0,M4,0.118672667,-1.385316301,0.044724721,
blstm,k1,r0,M0-M1,0,M5,0.053434203,-1.504717353,0.048368776,
blstm,k1,r0,M0-M1,0,M6,-0.053986607,-1.268745486,0.044464625,
blstm,k1,r0,M0-M2,0,train,0.72754281,0.511490934,0.007491903,25
blstm,k1,r0,M0-M2,0,M1,0.733691516,0.37391351,0.007899451,
blstm,k1,r0,M0-M2,0,M2,0.695547175,0.394832759,0.011616246,
blstm,k1,r0,M0-M2,0,M3,0.548622715,0.266812896,0.013000359,
blstm,k1,r0,M0-M2,0,M4,0.396982505,0.048956458,0.017832082,
blstm,k1,r0,M0-M2,0,M5,0.208545522,-0.276964752,0.024765269,
blstm,k1,r0,M0-M2,0,M6,0.02261112,-0.797355363,0.035356309,
blstm,k1,r0,M0-M3,0,train,0.996436063,0.992882085,0.000134476,100
blstm,k1,r0,M0-M3,0,M1,0.99658935,0.983502126,0.000208157,
blstm,k1,r0,M0-M3,0,M2,0.994434581,0.988776262,0.000215441,
blstm,k1,r0,M0-M3,0,M3,0.990537977,0.981106844,0.000335,
blstm,k1,r0,M0-M3,0,M4,0.973826516,0.946413541,0.001004747,
blstm,k1,r0,M0-M3,0,M5,0.908943453,0.818144972,0.003522032,
blstm,k1,r0,M0-M3,0,M6,0.791796394,0.611739748,0.007614234,
blstm,k1,r0,M0-M4,0,train,0.998196653,0.99563649,8.58E-05,43
blstm,k1,r0,M0-M4,0,M1,0.997845898,0.993358261,8.38E-05,
blstm,k1,r0,M0-M4,0,M2,0.998417912,0.996212106,7.27E-05,
blstm,k1,r0,M0-M4,0,M3,0.998302344,0.995878675,7.31E-05,
blstm,k1,r0,M0-M4,0,M4,0.99768372,0.994726886,9.89E-05,
blstm,k1,r0,M0-M4,0,M5,0.994463046,0.988720281,0.000218893,
blstm,k1,r0,M0-M4,0,M6,0.984872,0.968336678,0.000618623,
blstm,k1,r0,M0-M5,0,train,0.998546793,0.996886917,6.11E-05,30
blstm,k1,r0,M0-M5,0,M1,0.99904491,0.997618425,3.00E-05,
blstm,k1,r0,M0-M5,0,M2,0.998251227,0.995956889,7.76E-05,
