model,landscape,replicate,train position,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k0,r5,3,train,0.999881311003914,0.9996129274368286,6.11881944223569e-06,
blstm,k0,r5,3,G,0.9984534785060101,0.9092705845832825,0.0014424145629163831,
blstm,k0,r5,3,F,0.9995274819741043,0.7921669483184814,0.003299652657005936,
blstm,k0,r5,3,C,0.9982050961919319,0.9628984332084656,0.0005875446804566309,
blstm,k0,r5,3,E,0.9973316598998889,0.9602831602096558,0.0006295115599641576,
blstm,k0,r5,3,D,0.9992205134082679,-2.770071268081665,0.059898304753005505,
blstm,k0,r5,4,train,0.9996261518843994,0.9992318153381348,1.2124788327128044e-05,
blstm,k0,r5,4,G,0.9993557101974293,0.981784999370575,0.0002880530300899409,
blstm,k0,r5,4,F,0.9993569270959582,0.21306240558624268,0.012445962987840176,
blstm,k0,r5,4,C,0.9993964718736226,0.30595070123672485,0.010986552340909839,
blstm,k0,r5,4,E,0.9993791153555827,0.7616460919380188,0.0037741948617622256,
blstm,k0,r5,4,D,0.9990933307745474,-5.993083953857422,0.11075892671942711,
blstm,k0,r5,5,train,0.9998320638297238,0.999653697013855,5.385212602959655e-06,
blstm,k0,r5,5,G,0.9995624679661866,-1.9645545482635498,0.04638613760471344,
blstm,k0,r5,5,F,0.9994891718887423,0.870364785194397,0.0020266561477910727,
blstm,k0,r5,5,C,0.9996127424037481,-0.646314263343811,0.02574727637693286,
blstm,k0,r5,5,E,0.9995597174313896,-0.4096289873123169,0.022047059144824743,
blstm,k0,r5,5,D,0.999368546384983,-2.0760867595672607,0.048102399334311485,
blstm,k0,r6,0,train,0.9996862698891642,0.9992844462394714,1.3619594483316178e-05,
blstm,k0,r6,0,G,0.9982761165719526,-0.9554228782653809,0.03622555173933506,
blstm,k0,r6,0,F,0.9995245939113664,0.9568126797676086,0.00080628898285795,
blstm,k0,r6,0,C,0.999085052266573,0.9477636814117432,0.0009640939679229632,
blstm,k0,r6,0,E,0.9991519436769188,-1.6713500022888184,0.049778372049331665,
blstm,k0,r6,0,D,0.9993523603476339,0.37058842182159424,0.011671685380861163,
blstm,k0,r6,1,train,0.9998016418359028,0.9995494484901428,8.037845759645279e-06,
blstm,k0,r6,1,G,0.999324382595772,-1.430250883102417,0.04250888619571924,
blstm,k0,r6,1,F,0.9994060197260796,0.9847583174705505,0.0002654655327205546,
blstm,k0,r6,1,C,0.9988397880534771,0.8270649313926697,0.003011946682818234,
blstm,k0,r6,1,E,0.9990871179595484,0.7618633508682251,0.004191417014226317,
blstm,k0,r6,1,D,0.9990749719896821,-1.242436408996582,0.039211998693645,
blstm,k0,r6,2,train,0.9997873277622675,0.9995455145835876,8.180631311915931e-06,
blstm,k0,r6,2,G,0.9988898190150617,-3.3183388710021973,0.07697731256484985,
blstm,k0,r6,2,F,0.9994211832102666,0.10999429225921631,0.015889147762209177,
blstm,k0,r6,2,C,0.9975396450934998,-3.5351147651672363,0.08095569536089897,
blstm,k0,r6,2,E,0.9963123610157725,0.6907878518104553,0.005568924185354263,
blstm,k0,r6,2,D,0.9984063031694848,-6.733700752258301,0.13786420971155167,
blstm,k0,r6,3,train,0.9995882009620858,0.9990002512931824,1.7770331623978564e-05,
blstm,k0,r6,3,G,0.99281910155098,-1.8666110038757324,0.051239111460745335,
blstm,k0,r6,3,F,0.9993485933352135,-0.305230975151062,0.02344229258596897,
blstm,k0,r6,3,C,0.9986919472381066,-5.162516117095947,0.11077187024056911,
blstm,k0,r6,3,E,0.9984913874721589,-0.7782993316650391,0.03206110466271639,
blstm,k0,r6,3,D,0.9955712837043384,-6.609427452087402,0.13647787645459175,
blstm,k0,r6,4,train,0.9995469873660209,0.9990466833114624,1.8351839571550954e-05,
blstm,k0,r6,4,G,0.9898714162504962,-0.9502235651016235,0.03727103117853403,
blstm,k0,r6,4,F,0.9952953754008604,0.46227312088012695,0.010261178249493241,
blstm,k0,r6,4,C,0.9905579016559025,-3.250159740447998,0.08140989951789379,
blstm,k0,r6,4,E,0.9988062729498218,-0.4195702075958252,0.027258049696683884,
blstm,k0,r6,4,D,0.9853902938380972,-3.8097167015075684,0.09203900024294853,
blstm,k0,r6,5,train,0.9996097426770124,0.999052882194519,1.978820796466607e-05,
blstm,k0,r6,5,G,0.9988852539874125,0.9751861691474915,0.0005184306064620614,
blstm,k0,r6,5,F,0.9992931341304846,0.9875775575637817,0.00025935229132301174,
blstm,k0,r6,5,C,0.9989108718485973,0.995345413684845,0.00010246149213344324,
blstm,k0,r6,5,E,0.9989408027759202,0.9958409667015076,8.852738210407551e-05,
blstm,k0,r6,5,D,0.9991891218859216,0.9104606509208679,0.001887305552372709,
blstm,k0,r4,0,train,0.9999352859428665,0.99967360496521,5.650107311794272e-06,
blstm,k0,r4,0,G,0.9971989582417554,-0.6138386726379395,0.028519592713564634,
blstm,k0,r4,0,F,0.9890486794096665,-0.9503856897354126,0.034531242214143276,
blstm,k0,r4,0,C,0.9976336259300501,-2.8398239612579346,0.06785952858626842,
blstm,k0,r4,0,E,0.9977041429329558,0.7188079357147217,0.004981978214345872,
blstm,k0,r4,0,D,0.9996201050096275,0.8245364427566528,0.0030957612325437367,
blstm,k0,r4,1,train,0.9997693396576346,0.999476969242096,8.970663429863635e-06,
