model,landscape,replicate,cv_fold,data_split,pearson_r,r2,mse,train_epochs
linear,k1,r4,0,train,0.5406928481093922,0.29234744499648635,0.01618807346216942,18.0
linear,k1,r4,0,test,0.5437763060427924,0.29546815810443394,0.016083213686943054,
linear,k1,r0,0,train,0.5761900421577717,0.33195602467618657,0.013320056084347399,16.0
linear,k1,r0,0,test,0.5773273720999783,0.3330775449288068,0.013536492176353932,
linear,k1,r7,0,train,0.6635645913029239,0.4403147068593294,0.013614006683622537,15.0
linear,k1,r7,0,test,0.6608515084039166,0.43661362687498595,0.013554803468286991,
linear,k2,r2,0,train,0.22841962892542594,0.0521195413059119,0.017275747303899965,51.0
linear,k2,r2,0,test,0.2157159841992562,0.04642924643519453,0.01733507290482521,
linear,k2,r4,0,train,0.3277871777580964,0.1074268958796778,0.018008947960640256,60.0
linear,k2,r4,0,test,0.328941109135313,0.10818765590718038,0.01763087660074234,
linear,k2,r0,0,train,0.2699200805712003,0.07283726821300451,0.02031650060885831,49.0
linear,k2,r0,0,test,0.2740323237093148,0.07465463843088471,0.02008996270596981,
linear,k2,r7,0,train,0.2519431869924289,0.0634063005286527,0.018658867890113277,56.0
linear,k2,r7,0,test,0.25929478782227905,0.06718732432841135,0.018788497522473337,
linear,k3,r2,0,train,0.11431972883808081,0.01305702206691528,0.019830757065823202,21.0
linear,k3,r2,0,test,0.10482301982235516,0.010813635717280667,0.01946662813425064,
linear,k3,r4,0,train,0.1142663057553845,0.012981757097826119,0.019634130557900982,21.0
linear,k3,r4,0,test,0.09217151472463382,0.007417849671074284,0.01927102766931057,
linear,k3,r0,0,train,0.14625308678813279,0.021327901041566344,0.018363971557272107,19.0
linear,k3,r0,0,test,0.14376025404035478,0.020511263955140913,0.01859172061085701,
linear,k3,r7,0,train,0.13141571916415445,0.01705426766665652,0.02044864410632535,23.0
linear,k3,r7,0,test,0.12066438360194222,0.014254974210339166,0.02047213725745678,
linear,k4,r2,0,train,0.04551396971449154,0.0005960110297669186,0.018667480957351233,21.0
linear,k4,r2,0,test,0.049470480825968347,0.0011916209481342976,0.01869317553937435,
linear,k4,r4,0,train,0.049027718287855585,-0.00014437957871349383,0.01857975458628253,10.0
linear,k4,r4,0,test,0.04187560146291996,-0.0016338834013978065,0.018648917600512505,
linear,k4,r0,0,train,0.021011321040283335,-0.002546505114586095,0.01840451957755967,10.0
linear,k4,r0,0,test,0.02466881790749251,-0.0022338834036785826,0.01868617832660675,
linear,k4,r7,0,train,0.02461847127248712,-0.00364872067037858,0.018780105012027842,10.0
linear,k4,r7,0,test,0.02755703443939957,-0.0037193311724550426,0.018574919924139975,
linear,k5,r2,0,train,0.02976897743280504,0.000830219538016097,0.019993679892075688,23.0
linear,k5,r2,0,test,0.016389401040882625,-9.87811703285768e-05,0.020409877225756646,
linear,k5,r4,0,train,0.02542334728802416,0.0006267040179652739,0.020351430107104152,24.0
linear,k5,r4,0,test,-0.013400010895870087,-0.0017321628944841905,0.019579703360795973,
linear,k5,r0,0,train,0.009275839879510302,-0.0008172839466320525,0.019375476594033995,21.0
linear,k5,r0,0,test,0.0006262200414676239,-0.001422253012830943,0.019054292887449264,
linear,k5,r7,0,train,0.030458974951961405,0.000837540186335306,0.019881305333815123,25.0
linear,k5,r7,0,test,0.0009870891130578012,-0.0013752863621621092,0.019700318574905396,
mlp,k0,r2,0,train,0.9998491961377324,0.9996847125288595,6.72888915543904e-06,11.0
mlp,k0,r2,0,test,0.9998398876459496,0.9996675163490238,7.200561776699033e-06,
mlp,k0,r4,0,train,0.9999466264701127,0.9998421091646004,3.286168593101473e-06,12.0
mlp,k0,r4,0,test,0.9999477111728852,0.9998463030368389,3.23269950968097e-06,
mlp,k0,r0,0,train,0.999852344404458,0.9997025483339681,6.669217375594216e-06,11.0
mlp,k0,r0,0,test,0.999849930841615,0.9996985817527758,6.862991540401708e-06,
mlp,k0,r7,0,train,0.9998754908132224,0.9997372488690072,5.998189527944257e-06,11.0
mlp,k0,r7,0,test,0.9998709431451538,0.9997281577024396,6.06986377533758e-06,
mlp,k1,r2,0,train,0.9995820204462302,0.9991488935320275,1.808342848993274e-05,27.0
mlp,k1,r2,0,test,0.9995656526431882,0.9991124533994804,1.8760855527943932e-05,
