model,landscape,replicate,density,cv_fold,data_split,pearson_r,r2,mse,train_epochs
blstm,k3,r7,0.2,0,train,0.9066366753454626,0.8151878908669419,0.0037133796722628176,59.0
blstm,k3,r7,0.2,0,test,0.5736912227144001,0.25015344939742823,0.015513412840664386,
blstm,k4,r2,1.0,0,train,0.9423249733636135,0.8871435083762959,0.002087075465456828,83.0
blstm,k4,r2,1.0,0,test,0.32549010212777646,-0.06388449383774386,0.019872786849737166,
blstm,k4,r2,0.8,0,train,0.9348852432522464,0.8727872053705295,0.0023723049166922768,100.0
blstm,k4,r2,0.8,0,test,0.29585096121188315,-0.09269892894421394,0.020393512770533563,
blstm,k4,r2,0.6,0,train,0.04427595073971454,0.0018101665337948436,0.01856745034456253,12.0
blstm,k4,r2,0.6,0,test,0.02644321970532037,-0.0001987621466015277,0.018709852173924447,
blstm,k4,r2,0.4,0,train,0.05050063502493494,0.002235506338862714,0.01863173022866249,13.0
blstm,k4,r2,0.4,0,test,0.026270430157223364,-0.00048236789195610363,0.018711306154727936,
blstm,k4,r2,0.2,0,train,0.06092562029974764,0.0034628584133390428,0.018942919559776783,16.0
blstm,k4,r2,0.2,0,test,0.02829683861965682,-0.001120885242050118,0.01872582770884037,
blstm,k4,r4,1.0,0,train,0.9489586441930685,0.9002983885458502,0.0018276102706103732,100.0
blstm,k4,r4,1.0,0,test,0.3634466815719142,0.02775331945052817,0.01816471815109253,
blstm,k4,r4,0.8,0,train,0.9372281311490325,0.8776563867108024,0.00228006897183756,100.0
blstm,k4,r4,0.8,0,test,0.33831420601618944,-0.02225670328658258,0.018967637792229652,
blstm,k4,r4,0.6,0,train,0.9229607580696955,0.8500914935311823,0.0027608072850853205,100.0
blstm,k4,r4,0.6,0,test,0.3022789229594796,-0.0956268943254317,0.02040322907269001,
blstm,k4,r4,0.4,0,train,0.14005296114088261,0.019542488736841723,0.018214682582765818,28.0
blstm,k4,r4,0.4,0,test,0.07706982232231807,0.0019817547071849795,0.018591657280921936,
blstm,k4,r4,0.2,0,train,0.093876798141421,0.006737890923429579,0.01823105476796627,26.0
blstm,k4,r4,0.2,0,test,0.02656376152346899,-0.0006319485267953784,0.018625546619296073,
blstm,k4,r0,1.0,0,train,0.02474425748798145,1.5895813194610753e-06,0.018334864197592986,10.0
blstm,k4,r0,1.0,0,test,0.024308326158973177,0.000403366926052251,0.01862541288137436,
blstm,k4,r0,0.8,0,train,0.9343999307462942,0.8723852324167938,0.0023189929857229193,100.0
blstm,k4,r0,0.8,0,test,0.27546919451486596,-0.08534656836384236,0.020166028663516043,
blstm,k4,r0,0.6,0,train,0.9095256259785578,0.8230130506792706,0.0032497098119082775,100.0
blstm,k4,r0,0.6,0,test,0.19439297844220452,-0.24942130703650456,0.02319987341761589,
blstm,k4,r0,0.4,0,train,0.028805973271763288,-0.0016498942424350016,0.01833667792379856,20.0
blstm,k4,r0,0.4,0,test,-0.0017968824361473995,-0.0040575178920927435,0.01871422603726387,
blstm,k4,r0,0.2,0,train,0.04282577448003528,-0.001948018764431847,0.018291236367076635,13.0
blstm,k4,r0,0.2,0,test,0.03219710301577848,-0.0027234376484188694,0.018675652146339417,
blstm,k4,r7,1.0,0,train,0.9428304433170682,0.8887592200659435,0.0021029801328519455,100.0
blstm,k4,r7,1.0,0,test,0.26652034321271467,-0.08747225144004322,0.020176116749644278,
blstm,k4,r7,0.8,0,train,0.019087867125279812,-0.0021454464164538667,0.019054856151342392,11.0
blstm,k4,r7,0.8,0,test,0.005819879758668229,-0.0014900111690892004,0.018536129966378212,
blstm,k4,r7,0.6,0,train,0.006711955699068009,-0.002915308026104624,0.019182240759784527,9.0
blstm,k4,r7,0.6,0,test,-0.012217419342663103,-0.0047533948785427604,0.018604063615202903,
blstm,k4,r7,0.4,0,train,0.024434224580161867,0.00035636864810517643,0.019142524106428027,16.0
blstm,k4,r7,0.4,0,test,-0.013500618792206221,-0.00144797422410603,0.018533121049404144,
blstm,k4,r7,0.2,0,train,0.03146291979696096,-0.0038654103266706485,0.01879459572955966,10.0
blstm,k4,r7,0.2,0,test,0.005803280861937218,-0.008075505439206099,0.018650148063898087,
blstm,k5,r2,1.0,0,train,0.018301660900651114,0.000284166820313847,0.020041268122823613,12.0
blstm,k5,r2,1.0,0,test,0.012519045466530177,-0.00016765545827079897,0.020413339138031006,
blstm,k5,r2,0.8,0,train,0.031020453303322985,0.0005124949271464452,0.019998253633578617,20.0
blstm,k5,r2,0.8,0,test,0.01639661455311665,-0.00046169074200141935,0.020420284941792488,
blstm,k5,r2,0.6,0,train,0.023837692242070198,0.0005639241281950591,0.01996975781565363,16.0
blstm,k5,r2,0.6,0,test,0.001531148447008042,-0.0005282466544178632,0.020424645394086838,
blstm,k5,r2,0.4,0,train,0.04100419898870143,0.001241522031160791,0.019609651528298855,21.0
blstm,k5,r2,0.4,0,test,0.020768840987418127,0.00019107458357714435,0.020406399294734,
blstm,k5,r2,0.2,0,train,0.01405206188584238,-0.0008518524760667834,0.019557653460651636,14.0
blstm,k5,r2,0.2,0,test,0.013202392627861588,-0.0005555586708321236,0.02042009010910988,
blstm,k5,r4,1.0,0,train,0.023167821284800865,-1.5310741212637424e-05,0.020295661138860804,16.0
blstm,k5,r4,1.0,0,test,-0.006448746257930895,-0.002203635516427216,0.01958802677690983,
blstm,k5,r4,0.8,0,train,0.022159947789062478,-9.819548360656682e-06,0.020366023853421213,14.0
blstm,k5,r4,0.8,0,test,0.001624835638973443,-0.0009497703370633381,0.019563059881329538,
blstm,k5,r4,0.6,0,train,0.020748958267746007,0.0003188673353903271,0.02023454247550531,19.0
blstm,k5,r4,0.6,0,test,-0.01236216233546615,-0.0014936160792673459,0.01956842318177223,
blstm,k5,r4,0.4,0,train,0.033452645080138524,0.0009878567350639633,0.02022417914122343,19.0
blstm,k5,r4,0.4,0,test,-0.020812305150517706,-0.0018502036002141509,0.01958547830581665,
blstm,k5,r4,0.2,0,train,0.027539273439869214,0.0005040493457536543,0.02050003968179226,13.0
blstm,k5,r4,0.2,0,test,-0.010711457829041891,-0.0018353204028227488,0.019580569490790366,
blstm,k5,r0,1.0,0,train,0.025281843518690124,0.00034081621490955616,0.019501841480010433,15.0
blstm,k5,r0,1.0,0,test,-0.009660523572897862,-0.0003178941931551993,0.01903257258236408,
blstm,k5,r0,0.8,0,train,0.007876839008349996,-0.0006929013702383635,0.019601844002803168,13.0
blstm,k5,r0,0.8,0,test,0.010971457716410683,-0.00030954025456653156,0.019037405401468276,
blstm,k5,r0,0.6,0,train,0.011111284592422381,-0.00013300470668053954,0.019590106708082287,10.0
blstm,k5,r0,0.6,0,test,-0.003432384196918434,-0.0012329246593150156,0.019046207517385484,
blstm,k5,r0,0.4,0,train,0.013745313169712213,-0.00015158635488865535,0.019605928333476186,17.0
blstm,k5,r0,0.4,0,test,0.003260470275128611,-0.0007988938933813916,0.01904083900153637,
blstm,k5,r0,0.2,0,train,0.025194508186057177,-0.0009114468651529872,0.019664178602397442,12.0
blstm,k5,r0,0.2,0,test,-0.012354065323531994,-0.005034776865989965,0.019121706113219263,
blstm,k5,r7,1.0,0,train,0.02044692821411622,6.765126803687238e-05,0.020036347308441213,16.0
blstm,k5,r7,1.0,0,test,0.0096222861428702,-0.0012362193698813861,0.019697262346744536,
blstm,k5,r7,0.8,0,train,0.007482429675455592,-0.0012365719947657894,0.020161260664463044,9.0
blstm,k5,r7,0.8,0,test,-0.00562336621100345,-0.0016418972343197336,0.01970593221485615,
blstm,k5,r7,0.6,0,train,0.01804565426013883,7.669168837765028e-05,0.020150875503366642,15.0
blstm,k5,r7,0.6,0,test,-0.007372806250577385,-0.0008999028479137472,0.019688307121396065,
blstm,k5,r7,0.4,0,train,0.02807901599565049,0.0007291452804381038,0.02000819006934762,16.0
blstm,k5,r7,0.4,0,test,0.02074847212486429,-0.0002146231502171414,0.019678672403097154,
blstm,k5,r7,0.2,0,train,0.026134125887147783,-0.00109923788988886,0.01970030041411519,14.0
blstm,k5,r7,0.2,0,test,0.02114259251824011,-0.0021875903865522517,0.019716576486825944,
