model,landscape,replicate,train position,data_split,pearson_r,r2,mse_loss,train_epochs
blstm,k1,r4,0,E,0.24828045448780867,-2.213242530822754,0.0652895038947463,
blstm,k1,r4,0,D,0.15497519725035902,-0.37657713890075684,0.026731430552899837,
blstm,k1,r4,1,train,0.6472799764087765,0.35931289196014404,0.012572993757203221,
blstm,k1,r4,1,G,0.15347128091898893,-0.2537868022918701,0.02811585832387209,
blstm,k1,r4,1,F,0.25559906105149727,-0.8032979965209961,0.036442871671169996,
blstm,k1,r4,1,C,0.3587447970424712,0.09273290634155273,0.022680714260786772,
blstm,k1,r4,1,E,0.07385567484680475,-0.23605072498321533,0.02135178167372942,
blstm,k1,r4,1,D,-0.13035140714177118,-0.47114741802215576,0.02616529678925872,
blstm,k1,r4,2,train,0.45376645658843184,0.1818564534187317,0.01732622948475182,
blstm,k1,r4,2,G,0.41168805547177345,-0.11841154098510742,0.030721947085112333,
blstm,k1,r4,2,F,0.30456400587647914,-0.4117361307144165,0.029589266050606966,
blstm,k1,r4,2,C,0.27536215833234146,-0.47768187522888184,0.03180356603115797,
blstm,k1,r4,2,E,0.3142946629283161,0.08303183317184448,0.016782270278781652,
blstm,k1,r4,2,D,0.4245436915939593,-0.36791765689849854,0.03215355845168233,
blstm,k1,r4,3,train,0.5648614882374439,0.31563329696655273,0.015524041606113315,
blstm,k1,r4,3,G,0.43632675263548126,-0.22544825077056885,0.032439418602734804,
blstm,k1,r4,3,F,0.49618145033713335,-0.346759557723999,0.03160113003104925,
blstm,k1,r4,3,C,0.27079695088217054,-0.7783143520355225,0.03400603635236621,
blstm,k1,r4,3,E,0.30962224763659074,-0.7316884994506836,0.04004977736622095,
blstm,k1,r4,3,D,0.3031899238432403,-0.304341197013855,0.02466019243001938,
blstm,k1,r4,4,train,0.7394891403644834,0.5001945495605469,0.009379411581903696,
blstm,k1,r4,4,G,0.05677322907538307,-0.9217427968978882,0.05026285257190466,
blstm,k1,r4,4,F,0.22901045027666656,-1.3611774444580078,0.03684042999520898,
blstm,k1,r4,4,C,-0.34182632877346125,-1.0832009315490723,0.04350286163389683,
blstm,k1,r4,4,E,0.4176498074118369,-0.35439324378967285,0.02660367335192859,
blstm,k1,r4,4,D,-0.05305521841543609,-1.2044639587402344,0.04504053574055433,
blstm,k1,r4,5,train,0.43968990898484417,0.08312147855758667,0.017999245785176754,
blstm,k1,r4,5,G,-0.09092191743778999,-0.9888700246810913,0.04578053578734398,
