model,landscape,replicate,density,cv_fold,data_split,pearson_r,r2,mse
transformer,gb1,r1,1.0,0,test,0.8523238419250044,0.7253164088865364,0.04107035199801127
transformer,gb1,r1,0.8,0,train,0.8663760544688478,0.7471071560543707,0.04113922731831987
transformer,gb1,r1,0.8,0,test,0.851974983131784,0.7223703844326511,0.04164983406662941
transformer,gb1,r1,0.6,0,train,0.86130418545198,0.7325067903270724,0.042783586657606065
transformer,gb1,r1,0.6,0,test,0.8337116504107531,0.6801533051485439,0.047541560232639314
transformer,gb1,r1,0.4,0,train,0.8905257524100196,0.78341234201185,0.03380520245991647
transformer,gb1,r1,0.4,0,test,0.8722210185776145,0.7450471028537311,0.037911086032787956
transformer,gb1,r1,0.2,0,train,0.8495278498209731,0.7169882646632109,0.04468697557846705
transformer,gb1,r1,0.2,0,test,0.8184174030953539,0.6688194146852273,0.04942934364080429
transformer,gb1,r2,1.0,0,train,0.8434220726927263,0.7047486722352911,0.04759573586032552
transformer,gb1,r2,1.0,0,test,0.8367282278264572,0.6927764661114791,0.04580730696519216
transformer,gb1,r2,0.8,0,train,0.9022466001798694,0.8133795223238496,0.03036008489892838
transformer,gb1,r2,0.8,0,test,0.8765412086405954,0.7655942978838837,0.03515008663137754
transformer,gb1,r2,0.6,0,train,0.8474249989673269,0.7134901354627048,0.04688705845425526
transformer,gb1,r2,0.6,0,test,0.8205096509819936,0.666576306877059,0.04956908772389094
transformer,gb1,r2,0.4,0,train,0.8592239274327593,0.7327584352204191,0.04150177879879872
transformer,gb1,r2,0.4,0,test,0.8363474881332894,0.6974588641268654,0.04500877906878789
transformer,gb1,r2,0.2,0,train,0.8523067650939625,0.7235590873436784,0.04367004428058863
transformer,gb1,r2,0.2,0,test,0.8235452595994922,0.6775896602111828,0.04824884335199992
transformer,gb1,r3,1.0,0,train,0.8700245571157861,0.7532114182596221,0.03978212578695709
transformer,gb1,r3,1.0,0,test,0.8510403729137102,0.7182786334611164,0.04209128941098849
transformer,gb1,r3,0.8,0,train,0.8703505615989745,0.7564262838715725,0.03961924098907633
transformer,gb1,r3,0.8,0,test,0.8529246949632235,0.7267565411193005,0.04078435152769089
transformer,gb1,r3,0.6,0,train,0.8666900825590992,0.7493473816817589,0.040405009873211384
transformer,gb1,r3,0.6,0,test,0.8411831043889911,0.7026146206453037,0.04415255164106687
transformer,gb1,r3,0.4,0,train,0.8810887425715743,0.7729148811789751,0.03537952589492003
transformer,gb1,r3,0.4,0,test,0.8623545273396936,0.7365784566948166,0.0388518575578928
transformer,gb1,r3,0.2,0,train,0.8330703473006764,0.6837662804310127,0.0501743828256925
transformer,gb1,r3,0.2,0,test,0.8020770375093677,0.6347382060894544,0.05470819051067034
ulstm,gb1,r0,1.0,0,train,0.9973086087916716,0.994608415938919,0.0008636983289083435
ulstm,gb1,r0,1.0,0,test,0.9849323392160967,0.9697962364973518,0.004542608791962266
ulstm,gb1,r0,0.8,0,train,0.9954180010958911,0.9908137740309455,0.0015000962055327885
ulstm,gb1,r0,0.8,0,test,0.9827533217324992,0.96565713366907,0.0051511057807753485
ulstm,gb1,r0,0.6,0,train,0.9943430935098985,0.9879511012876302,0.0019209041238354985
ulstm,gb1,r0,0.6,0,test,0.9763152701699315,0.9521363895489344,0.00715338047593832
ulstm,gb1,r0,0.4,0,train,0.9909768785559037,0.9816467818000573,0.002848363083709652
ulstm,gb1,r0,0.4,0,test,0.9662897344267201,0.9335328872009835,0.00999160266170899
ulstm,gb1,r0,0.2,0,train,0.9876022891827106,0.9752993074558527,0.00388926137626792
ulstm,gb1,r0,0.2,0,test,0.9438035392502073,0.8905030952810034,0.016369297231237093
ulstm,gb1,r1,1.0,0,train,0.9975153168917884,0.995012515686769,0.000799974409362175
ulstm,gb1,r1,1.0,0,test,0.9847425852785039,0.9695828378850319,0.0045991992888351286
ulstm,gb1,r1,0.8,0,train,0.995053500957906,0.9900967708143843,0.0016160115433678506
ulstm,gb1,r1,0.8,0,test,0.9821280621436819,0.9644144468854331,0.0053239568447073305
ulstm,gb1,r1,0.6,0,train,0.9950148330044379,0.9898525588925491,0.0016451201388715869
ulstm,gb1,r1,0.6,0,test,0.977607598316013,0.9556944284600027,0.006604216651370128
ulstm,gb1,r1,0.4,0,train,0.9931585152998434,0.9860576196583467,0.0021703534681970873
ulstm,gb1,r1,0.4,0,test,0.9712487858053298,0.9433230939178688,0.008516184892505408
ulstm,gb1,r1,0.2,0,train,0.9854561262342663,0.9708085654787459,0.004581357682279001
ulstm,gb1,r1,0.2,0,test,0.944924946814532,0.8926118095668883,0.016065163537859917
ulstm,gb1,r2,1.0,0,train,0.9967628393514517,0.993506562737582,0.0010411114514789592
ulstm,gb1,r2,1.0,0,test,0.9826106560167048,0.9654684844789072,0.005208026897162199
ulstm,gb1,r2,0.8,0,train,0.9963847008719077,0.9927777371590456,0.0011764649732751732
ulstm,gb1,r2,0.8,0,test,0.982730023697751,0.9655709166203158,0.005153153526286284
ulstm,gb1,r2,0.6,0,train,0.9952951714055792,0.9905936709310049,0.0015169941681152624
ulstm,gb1,r2,0.6,0,test,0.9768662290136699,0.9540944703787971,0.00682622135306398
ulstm,gb1,r2,0.4,0,train,0.990028839458674,0.980066578992349,0.003099323070879715
ulstm,gb1,r2,0.4,0,test,0.9639908630329584,0.9291713793980423,0.010617848547796408
ulstm,gb1,r2,0.2,0,train,0.9809234897334665,0.961556033098907,0.006044648141444971
ulstm,gb1,r2,0.2,0,test,0.9372325851340458,0.8776634510889852,0.018279808138807616
ulstm,gb1,r3,1.0,0,train,0.9972080471125052,0.9941570452241559,0.0009365168970346577
ulstm,gb1,r3,1.0,0,test,0.9844442378308613,0.9680480027786418,0.00483553643959264
ulstm,gb1,r3,0.8,0,train,0.9953644537199144,0.9906052050728154,0.0015278280863756353
ulstm,gb1,r3,0.8,0,test,0.981130821692803,0.9625412338014514,0.005605991386498014
ulstm,gb1,r3,0.6,0,train,0.9957107285176667,0.9910568966957626,0.0014314608140719226
ulstm,gb1,r3,0.6,0,test,0.977380624039511,0.9550169823600145,0.006695127145697673
ulstm,gb1,r3,0.4,0,train,0.9878739395634973,0.9758867314886832,0.0037805001193191856
ulstm,gb1,r3,0.4,0,test,0.9642035302430051,0.9296564329474264,0.010587613563984632
ulstm,gb1,r3,0.2,0,train,0.9841649085890476,0.9685551816539929,0.004937946447171271
ulstm,gb1,r3,0.2,0,test,0.9410715446220069,0.8855885452224789,0.017003725407024224
